Stack_Number,Frame_Index,Z_Coordinate
0,0,2955.7250000000004
0,1,2956.7250000000004
0,2,2957.7250000000004
0,3,2958.7250000000004
0,4,2959.7250000000004
0,5,2960.7250000000004
0,6,2961.7250000000004
0,7,2962.7250000000004
0,8,2963.7250000000004
1,7,2962.5750000000003
1,6,2961.5750000000003
1,5,2960.5750000000003
1,4,2959.5750000000003
1,8,2963.5750000000003
1,2,2957.5750000000003
1,1,2956.5750000000003
1,0,2955.5750000000003
1,3,2958.5750000000003
2,8,2963.425
2,7,2962.425
2,6,2961.425
2,5,2960.425
2,4,2959.425
2,3,2958.425
2,2,2957.425
2,1,2956.425
2,0,2955.425
3,7,2962.4
3,6,2961.4
3,5,2960.4
3,4,2959.4
3,3,2958.4
3,2,2957.4
3,1,2956.4
3,8,2963.4
3,0,2955.4
4,0,2955.3
4,6,2961.3
4,1,2956.3
4,2,2957.3
4,3,2958.3
4,4,2959.3
4,8,2963.3
4,7,2962.3
4,5,2960.3
5,8,2963.4
5,2,2957.4
5,6,2961.4
5,5,2960.4
5,4,2959.4
5,0,2955.4
5,3,2958.4
5,1,2956.4
5,7,2962.4
6,3,2958.125
6,1,2956.125
6,2,2957.125
6,4,2959.125
6,5,2960.125
6,6,2961.125
6,7,2962.125
6,8,2963.125
6,0,2955.125
7,8,2963.025
7,7,2962.025
7,6,2961.025
7,5,2960.025
7,3,2958.025
7,2,2957.025
7,1,2956.025
7,0,2955.025
7,4,2959.025
8,0,2954.925
8,1,2955.925
8,2,2956.925
8,3,2957.925
8,4,2958.925
8,5,2959.925
8,6,2960.925
8,7,2961.925
8,8,2962.925
9,5,2959.9500000000003
9,7,2961.9500000000003
9,6,2960.9500000000003
9,4,2958.9500000000003
9,3,2957.9500000000003
9,2,2956.9500000000003
9,1,2955.9500000000003
9,0,2954.9500000000003
9,8,2962.9500000000003
10,8,2962.8250000000003
10,7,2961.8250000000003
10,1,2955.8250000000003
10,2,2956.8250000000003
10,3,2957.8250000000003
10,4,2958.8250000000003
10,5,2959.8250000000003
10,6,2960.8250000000003
10,0,2954.8250000000003
11,0,2954.8
11,1,2955.8
11,7,2961.8
11,6,2960.8
11,8,2962.8
11,4,2958.8
11,3,2957.8
11,5,2959.8
11,2,2956.8
12,3,2957.4750000000004
12,4,2958.4750000000004
12,2,2956.4750000000004
12,6,2960.4750000000004
12,7,2961.4750000000004
12,0,2954.4750000000004
12,8,2962.4750000000004
12,5,2959.4750000000004
12,1,2955.4750000000004
13,8,2962.5
13,7,2961.5
13,6,2960.5
13,5,2959.5
13,4,2958.5
13,3,2957.5
13,2,2956.5
13,1,2955.5
13,0,2954.5
14,2,2956.5
14,1,2955.5
14,3,2957.5
14,4,2958.5
14,5,2959.5
14,6,2960.5
14,8,2962.5
14,0,2954.5
14,7,2961.5
15,7,2961.125
15,6,2960.125
15,0,2954.125
15,1,2955.125
15,2,2956.125
15,3,2957.125
15,4,2958.125
15,5,2959.125
15,8,2962.125
16,7,2961.1000000000004
16,8,2962.1000000000004
16,5,2959.1000000000004
16,3,2957.1000000000004
16,1,2955.1000000000004
16,2,2956.1000000000004
16,6,2960.1000000000004
16,4,2958.1000000000004
16,0,2954.1000000000004
17,6,2961.7250000000004
17,0,2955.7250000000004
17,1,2956.7250000000004
17,2,2957.7250000000004
17,3,2958.7250000000004
17,4,2959.7250000000004
17,5,2960.7250000000004
17,7,2962.7250000000004
17,8,2963.7250000000004
18,1,2956.5750000000003
18,0,2955.5750000000003
18,2,2957.5750000000003
18,3,2958.5750000000003
18,4,2959.5750000000003
18,5,2960.5750000000003
18,6,2961.5750000000003
18,7,2962.5750000000003
18,8,2963.5750000000003
